REGISTRY_ID,FAC_NAME,FAC_STATE,FAC_EPA_REGION,FAC_MAJOR_FLAG,FAC_NAICS_CODES,TARGET_VIOLATION_12M
110063887361.0,"RIVER VALLEY BIO-REFINERY, LLC, NEW MARTINSVILLE",WV,3.0,,325110,0
110000746006.0,BENTELER AUTOMOTIVE CORP,MI,5.0,,42393 336399 336390,0
110071723895.0,BOH BROS CONSTRUCTION CO LLC - ASPHALT PLANT,LA,6.0,,324121,0
110065807121.0,ELCO MACHINE CO,CA,9.0,,332721,0
110018977142.0,VALLEY METALS,CA,9.0,,331221 332312 336413 331491 336412,0
110003942636.0,OLDCASTLE BUILDINGENVELOPE,MO,7.0,,327215,0
110005007438.0,"A-1 SHIPLEY'S WASTE OIL, INC.",TN,4.0,,562111 324191,0
110007036242.0,"MOSCOW AGRI INDUSTRIES, INC.",KS,7.0,,311119 424510,0
110018284408.0,CONCRETE SPECIALTIES CO HAZEL CREST,IL,5.0,,327390,0
110043247199.0,RUBIN IRON WORKS LLC,FL,4.0,,332114 332312,0
110055614054.0,INTERNATIONAL PAPER,OH,5.0,,322211,0
110018120549.0,LSC PHOENIX PAPER LLC,IL,5.0,,322211,0
110000400628.0,HENDRICKSON TRUCK SUSPENSION SYSTEMS PLANT 1,IN,5.0,,336330 33633 336399,0
110001451928.0,MARTIN GRAIN COMPANY INC,MO,7.0,,42413 311211,0
110001949429.0,KINGSTON ALUMINUM FOUNDRY,MA,1.0,,331524,0
110070458200.0,IMPERIAL PRINTING & PAPER BOX MFG. CO.,CA,,,322212,0
110008122432.0,LARRY MULLINS AUTOMOTIVE,TN,4.0,,326212,0
110045559640.0,IHI IONBOND INC,OH,5.0,,332813,0
110071517731.0,YEBO GROUP,CA,,,333310,0
110063382101.0,FAST INNOVATIONS LLC,OH,,,325620,0
110038356524.0,"OLD SOUTH SHOWOOD INC, HIGHWAY 15 NORTH",MS,4.0,,337125,0
110017619549.0,METROPOLITAN STEEL,MD,3.0,,332312,0
110030570004.0,FARMINGTON CHIPPING ENTERPRISES,ME,1.0,,321999,0
110021036136.0,BRONX METER & REGULATOR STATION,NY,2.0,,325510,0
110027297333.0,ALPINE ENGINEERED PROD,IL,5.0,,321213,0
110000468155.0,EAGLE BRONZE INC,WY,8.0,,331525,0
110041677030.0,X-CEL OPTICAL COMPANY,MN,5.0,,339115 327215,0
110007342438.0,STONE & CO INC/CHARLEROI PLT,PA,3.0,,327320,0
110071961660.0,ALCORTA FORGING GROUP,MI,5.0,,332111,0
110070616496.0,IM CRUSHING LLC,IL,5.0,,339999,0
110001472861.0,PREMIERE PLASTICS INC,MS,4.0,,326199 326299,0
110001877336.0,TITUS SHIN,TX,6.0,,999999 332994,0
110071816009.0,ASPHALT PLANT 5,TX,6.0,,324121,0
110039204492.0,MILLER ELECTRIC COMPONENT PRODUCTS,WI,5.0,,333992,0
110001939207.0,PLYMOUTH COATED PRODUCTS,MA,1.0,,332999,0
110010109774.0,WIREGRASS CONSTRUCTION - LACON PLANT,AL,4.0,,324121,0
110007396816.0,MARSALIS B11 2 ALT FACILITY,LA,6.0,,335929,0
110070345282.0,VALLEY PACKLINE SOLUTIONS,CA,9.0,,333131,0
110018500567.0,TUALATIN AUTO BODY,OR,10.0,,326199 811111 32612 322221,0
110002811574.0,PORTABLE ENERGY PRODUCTS,CA,9.0,,335911,0
110000351592.0,HONEYWELL SENSING & CONTROL,NC,4.0,,335931,0
110005502928.0,ALLOY PRODUCTS CORP,WI,5.0,,332420,0
110070490991.0,PHOTO SOLUTIONS,OR,,,333314,0
110040469953.0,GCC ALLIANCE CONCRETE INC-HAWARDEN,IA,7.0,,327320,0
110071318788.0,COMMERCE B1,CA,,,312140,0
110070458624.0,GREENVILLE VENTURE PARTNERS LLC,MI,,,311514,0
110070121260.0,LEAR CORPORATION,MI,5.0,,336370,0
110070520571.0,KYOCERA SGS PRECISION TOOLS INC,OH,5.0,,333515,0
110002614911.0,METAL CHEM,CA,9.0,,332813,0
110064378472.0,PARTNERS IN PATHOLOGY,OH,,,325413,0
110070595458.0,SPM OIL AND GAS PC - EL RENO,OK,,,333132,0
110071053702.0,ALAN KOVACS,CA,,,333517,0
110000609583.0,GENERAL BATTERY CORP,CA,9.0,,335911,0
110001683517.0,GUARDIAN ELECTRIC MFG CO,IL,5.0,,335314 332999 336413 326199 334419,0
110001843738.0,S P SHEFFER INTL,MI,5.0,,333512 326299,0
110002140004.0,MANUFACTURERS WIRE CORP,CA,9.0,,331222,0
110012596761.0,WOLLARD AIRPORT EQUIP CO,FL,4.0,,332999,0
110055580740.0,LIPPERT COMPONENTS INC PLANT 46,IN,5.0,,336214,0
110070566667.0,JK CONCEPTS - 3333 E 52ND AVE,CO,8.0,,321999,0
110043659760.0,DENSO AIR SYSTEMS KENTUCKY,KY,4.0,,33611 336211 332996,0
110072026426.0,DOUGLAS EMMETT BUILDERS,CA,,,336340,0
110038922798.0,CAPAUL CORP.,IL,5.0,,327993,0
110071073465.0,AAM ST MARYS,PA,3.0,,332117,0
110070628021.0,KIMBRELLS KUSTOM MACHINE SHOP,TX,6.0,,332323,0
110070049434.0,RR DONNELLEY & SONS COMPANY,NC,4.0,,323111 323110,0
110070791038.0,"COLORCOAT, INC. ** INACTIVE **",NC,4.0,,339999,0
110012644040.0,GARDNER DENVER LAMSON,NY,2.0,,333922,0
110024891116.0,"CRESTWOOD FARMS, LLC",NC,4.0,,311615,0
110013940076.0,WESTERN LION LTD LANDFILL,IL,5.0,,339999,0
110000860701.0,AVONTI MANUFACTURING INC,AZ,9.0,,327991,0
110071063132.0,ARMSTRONG FLOORING INC CORP CAMPUS,PA,,,323111 326199,0
110002103054.0,CITRUS CENTRAL INC CROWN CORK & SEAL CO INC,FL,4.0,,332431,0
110071832502.0,CARROUSEL LTD,CA,,,327999,0
110009376264.0,ACE REPROGRAPHICS,IL,5.0,,323112 31193 311942 311999 323111 311920,0
110002635131.0,MYERS DRUM - OAKLAND,CA,9.0,,332439 81149 42184,0
110071541893.0,SRM PLANT 14101 GAINSVILLE RMC,TX,6.0,,327320,0
110071135505.0,MOMENTUS INC,CA,,,339112,0
110060261363.0,MEYER MATERIAL CO SOUTH BEND READY MIX PLANT,IN,5.0,,327320,0
110007861509.0,RAYS MACHINE & TOOL,TN,4.0,,333319 333514,0
110035728157.0,VISTA PRODUCTS INC,FL,4.0,,337920,0
110007415840.0,HOUSING SUPPLY INCORPORATED 20,GA,4.0,,336111 321999,0
110054867462.0,RIVERSIDE COMMODITIES,TX,6.0,,325611,0
110000479009.0,STMICROELECTRONICS,CA,9.0,,334413,0
110001462391.0,DAYTON WALTHER - HANDYTHINGS DIV,MO,7.0,,336370,0
110070432159.0,"REED MACHINERY, INC. ONLY LOCATION",MA,,,333517,0
110004011541.0,WRIGHT ROLLER COMPANY,NC,4.0,,325212,0
110017984047.0,LIGHTHOUSE FOR THE BLIND,MO,7.0,,325510 325611 32551 32532 624310 325998 325520,1
110071411935.0,BEWLEY'S COFFEE,CA,,,311920,0
110003326437.0,BUCKNER RENTAL SVC,LA,6.0,,333991,0
110005844630.0,OAK RIVER CLEANERS,IL,5.0,,812320 339999,0
110004951605.0,LEBANON WIRE PRODUCTS,TN,4.0,,332618,0
110036385532.0,HOME CITY ICE,IA,7.0,,312113,0
110004993151.0,NATIONAL MANUFACTURING CO INC,TN,4.0,,323119,0
110004843377.0,"DEATRICK, CHARLES & SON",PA,3.0,,333319,0
110001772617.0,VICTORY RACING,MD,3.0,,332111,0
110003435453.0,MEDWAY FLOWER LLC,MA,1.0,,332999 111419,0
110070667005.0,LIGHTNINGLABELS.COM - LIGHTNING LABELS,CO,8.0,,322230,0
110001501875.0,PRATT INDUSTRIES (USA) - RALEIGH,NC,4.0,,322211,0
110038666681.0,WWG ASPHALT PLANT #2,FL,4.0,,324121,0
110002091557.0,SCHOLLE CORP,NJ,2.0,,326113,0
110007540955.0,BATAVIA AMOCO,IL,5.0,,339999,0
